CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
11754811135656	Glenn	Orland Joint Unified	Orland High	16	0	4	0	0	0	6	0	0	26	1415
11765621130053	Glenn	Hamilton Unified	Ella Barkley High	0	0	0	0	0	0	0	0	0	0	1415
11765621133701	Glenn	Hamilton Unified	Hamilton High	19	0	0	0	0	1	9	0	0	29	1415
12101240106153	Humboldt	Humboldt County Office of Education	Eel River Community	0	0	0	0	0	0	0	0	0	0	1415
12101240106161	Humboldt	Humboldt County Office of Education	Eureka Community	0	0	0	0	0	0	0	0	0	0	1415
12101240106179	Humboldt	Humboldt County Office of Education	Southern Humboldt Community	0	0	0	0	0	0	0	0	0	0	1415
12101240106195	Humboldt	Humboldt County Office of Education	Humboldt County Office of Education Court	0	0	0	0	0	0	0	0	0	0	1415
12101240106203	Humboldt	Humboldt County Office of Education	Humboldt County Office of Education Juvenile Hall	0	0	0	0	0	0	0	0	0	0	1415
12101240115097	Humboldt	Humboldt County Office of Education	Northcoast Preparatory and Performing Arts Academy	2	0	2	0	1	0	25	3	1	34	1415
12101246077192	Humboldt	Humboldt County Office of Education	Glen Paul	0	0	0	0	0	0	0	0	0	0	1415
12626870107110	Humboldt	Northern Humboldt Union High	Six Rivers Charter High	0	2	0	0	0	0	9	0	0	11	1415
12626870124263	Humboldt	Northern Humboldt Union High	Laurel Tree Charter	0	0	1	0	0	0	3	0	0	4	1415
12626871230044	Humboldt	Northern Humboldt Union High	Pacific Coast High (Continuation)	1	0	0	0	0	0	0	0	0	1	1415
12626871230051	Humboldt	Northern Humboldt Union High	Tsurai High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
12626871230705	Humboldt	Northern Humboldt Union High	Arcata High	6	3	5	2	0	0	93	3	0	112	1415
12626871235209	Humboldt	Northern Humboldt Union High	McKinleyville High	4	2	0	1	0	0	41	11	0	59	1415
12628100108688	Humboldt	Fortuna Union High	Academy of the Redwoods	2	1	1	0	1	0	8	0	0	13	1415
12628101233352	Humboldt	Fortuna Union High	East High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
12628101233402	Humboldt	Fortuna Union High	Fortuna Union High	15	1	0	0	1	0	39	0	0	56	1415
12629011230028	Humboldt	Klamath-Trinity Joint Unified	Captain John Continuation High	0	10	0	0	0	0	1	0	0	11	1415
